case_id,description,case_category,crime_type,severity,vulnerability,influence,plain_summary
CASE_0952,A case of financial has been filed. The dispute is over dissolution involving seizure. No physical harm was reported. The matter involves tax and premises issues.,General Civil,Financial,No Injury,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0953,A case of financial has been filed. The dispute is over loan involving theft. No physical harm was reported. The matter involves possession and attachment issues.,General Civil,Financial,No Injury,Low,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0954,A case of property has been filed. The dispute is over borrowing involving refund. No physical harm was reported. The matter involves drawback and debt issues.,General Civil,Property,No Injury,Low,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0955,A case of financial has been filed. The dispute is over rebate involving bankruptcy. No physical harm was reported. The matter involves deception and disagreement issues.,General Civil,Financial,Minor,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0956,A property dispute concerning dissolution and gst. The parties claim ownership and possession of the premises. seizure is in question and court intervention sought.,Property/Land,Property,No Injury,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Property/Land because the document indicates possession, premises, property, ownership. Under the Constitution of India, the rights engaged are Article 300A, Article 14, Article 21, Article 39, Article 46, Article 243G. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation, Rule of Law."
CASE_0957,A property dispute concerning rebate and controversy. The parties claim ownership and possession of the premises. bankruptcy is in question and court intervention sought.,Property/Land,Property,No Injury,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Property/Land because the document indicates possession, premises, property, ownership. Under the Constitution of India, the rights engaged are Article 300A, Article 14, Article 21, Article 39, Article 46, Article 243G. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation, Rule of Law."
CASE_0958,A property dispute concerning dissolution and liquidation. The parties claim ownership and possession of the premises. agreement is in question and court intervention sought.,Property/Land,Property,Minor,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Property/Land because the document indicates possession, premises, property, ownership. Under the Constitution of India, the rights engaged are Article 300A, Article 14, Article 21, Article 39, Article 46, Article 243G. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation, Rule of Law."
CASE_0959,A case of financial has been filed. The dispute is over contract involving dispute. No physical harm was reported. The matter involves refund and controversy issues.,General Civil,Financial,No Injury,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates contract, dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0960,A property dispute concerning possession and controversy. The parties claim ownership and possession of the premises. tax is in question and court intervention sought.,Property/Land,Property,No Injury,Medium,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Property/Land because the document indicates possession, premises, property, ownership. Under the Constitution of India, the rights engaged are Article 300A, Article 14, Article 21, Article 39, Article 46, Article 243G. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation, Rule of Law."
CASE_0961,A case of non-violent has been filed. The dispute is over agreement involving tax. No physical harm was reported. The matter involves attachment and stolen issues.,General Civil,Non-Violent,No Injury,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0962,The accused gunshot the victim with a knife. The victim was stabbing and suffered fatal injuries. There was a rape incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Fatal,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates rape, victim, stabbing, shot. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0963,A case of property has been filed. The dispute is over estate involving eviction. No physical harm was reported. The matter involves winding up and dispute issues.,General Civil,Property,No Injury,Low,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0964,The accused firearm the victim with a knife. The victim was choked and suffered major injuries. There was a abducted incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Major,Low,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates victim, firearm. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0965,A case of non-violent has been filed. The dispute is over deception involving loan. No physical harm was reported. The matter involves excise and cheating issues.,General Civil,Non-Violent,No Injury,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0966,The accused homicide the victim with a knife. The victim was stabbed and suffered fatal injuries. There was a shot incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Fatal,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates victim, shot, homicide. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0967,A case of non-violent has been filed. The dispute is over borrowing involving tax. No physical harm was reported. The matter involves confiscation and bankruptcy issues.,General Civil,Non-Violent,No Injury,Low,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0968,The accused sexual assault the victim with a fists and kicks. The victim was assaulted and suffered fatal injuries. There was a battered incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Fatal,Low,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates assault, victim, sexual assault. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0969,"A case of financial dispute has been reported. The matter involves refund and rebate. No physical harm was reported, but it involves borrowing issues requiring legal resolution.",General Civil,Financial,Minor,Medium,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0970,The accused assault the victim with a stick. The victim was choked and suffered fatal injuries. There was a battered incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Fatal,Low,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates assault, victim. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0971,A case of financial has been filed. The dispute is over property involving estate. No physical harm was reported. The matter involves bankruptcy and cheating issues.,General Civil,Financial,No Injury,Medium,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0972,"A case of financial dispute has been reported. The matter involves dissolution and agreement. No physical harm was reported, but it involves gst issues requiring legal resolution.",General Civil,Financial,No Injury,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0973,The accused stabbing the victim with a sharp object. The victim was blood and suffered major injuries. There was a homicide incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Major,Low,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates victim, stabbing, homicide. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0974,A case of non-violent has been filed. The dispute is over loan involving contract. No physical harm was reported. The matter involves eviction and drawback issues.,General Civil,Non-Violent,No Injury,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates contract, dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0975,The accused assaulted the victim with a fists and kicks. The victim was battered and suffered major injuries. There was a threatened incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Major,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates assault, victim. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0976,A minor child was sexually abused by the accused. The child victim is traumatized and requires immediate judicial intervention. Constitutional rights against exploitation are attracted.,General Civil,Violent,Major,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates the facts of the dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0977,A case of sexual harassment and molestation was reported. The accused assaulted the victim in a vulnerable situation. The victim requires protection and urgent hearing.,Criminal/Violent,Violent,Major,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates assault, victim, molestation, harassment. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0978,"A case of financial dispute has been reported. The matter involves loan and gst. No physical harm was reported, but it involves fraud issues requiring legal resolution.",General Civil,Financial,Minor,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0979,The accused killed the victim with a knife. The victim was strangled and suffered major injuries. There was a battered incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Major,Medium,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates killed, victim. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0980,"A case of financial dispute has been reported. The matter involves possession and disagreement. No physical harm was reported, but it involves fraud issues requiring legal resolution.",General Civil,Financial,Minor,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0981,A property dispute concerning fraud and dispute. The parties claim ownership and possession of the premises. estate is in question and court intervention sought.,Property/Land,Property,Minor,Low,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Property/Land because the document indicates possession, premises, property, ownership. Under the Constitution of India, the rights engaged are Article 300A, Article 14, Article 21, Article 39, Article 46, Article 243G. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation, Rule of Law."
CASE_0982,A case of non-violent has been filed. The dispute is over premises involving seizure. No physical harm was reported. The matter involves refund and contract issues.,General Civil,Non-Violent,No Injury,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates contract, dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0983,A case of financial has been filed. The dispute is over disagreement involving dissolution. No physical harm was reported. The matter involves loan and seizure issues.,General Civil,Financial,No Injury,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0984,"A case of financial dispute has been reported. The matter involves stolen and deception. No physical harm was reported, but it involves confiscation issues requiring legal resolution.",General Civil,Financial,No Injury,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0985,A case of financial has been filed. The dispute is over misappropriated involving dispute. No physical harm was reported. The matter involves bankruptcy and gst issues.,General Civil,Financial,No Injury,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0986,The accused homicide the victim with a sharp object. The victim was robbed and suffered fatal injuries. There was a dacoity incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Fatal,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates victim, dacoity, homicide. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0987,A property dispute concerning deception and eviction. The parties claim ownership and possession of the premises. dissolution is in question and court intervention sought.,Property/Land,Property,No Injury,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Property/Land because the document indicates possession, premises, property, eviction. Under the Constitution of India, the rights engaged are Article 300A, Article 14, Article 21, Article 39, Article 46, Article 243G. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation, Rule of Law."
CASE_0988,A case of financial has been filed. The dispute is over bankruptcy involving winding up. No physical harm was reported. The matter involves controversy and rebate issues.,General Civil,Financial,Minor,Low,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0989,The accused killed the victim with a knife. The victim was gunshot and suffered fatal injuries. There was a dacoity incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Fatal,Medium,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates killed, victim, dacoity, shot. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0990,A case of non-violent has been filed. The dispute is over estate involving liquidation. No physical harm was reported. The matter involves agreement and winding up issues.,Company/Winding Up,Non-Violent,No Injury,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Company/Winding Up because the document indicates winding up, liquidation. Under the Constitution of India, the rights engaged are Article 14, Article 300A, Article 19(1)(g), Article 21, Article 39, Article 39A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0991,A case of financial has been filed. The dispute is over premises involving disagreement. No physical harm was reported. The matter involves tax and eviction issues.,General Civil,Financial,No Injury,Low,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0992,A minor child was sexually abused by the accused. The child victim is traumatized and requires immediate judicial intervention. Constitutional rights against exploitation are attracted.,General Civil,Violent,Major,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates the facts of the dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0993,"A case of financial dispute has been reported. The matter involves gst and estate. No physical harm was reported, but it involves loan issues requiring legal resolution.",General Civil,Financial,Minor,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0994,A case of financial has been filed. The dispute is over dispute involving possession. No physical harm was reported. The matter involves agreement and controversy issues.,General Civil,Financial,No Injury,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0995,The accused dacoity the victim with a fists and kicks. The victim was strangled and suffered fatal injuries. There was a violent incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Fatal,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates victim, dacoity. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0996,The accused strangled the victim with a stick. The victim was threatened and suffered fatal injuries. There was a dacoity incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Fatal,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates victim, dacoity. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0997,The accused fired upon the victim with a iron rod. The victim was firearm and suffered fatal injuries. There was a assault incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Fatal,Medium,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates assault, victim, firearm. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0998,The accused beaten the victim with a knife. The victim was dacoity and suffered major injuries. There was a bleeding incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Major,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates victim, dacoity. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0999,The accused sexual assault the victim with a gun. The victim was shot and suffered fatal injuries. There was a rape incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Fatal,Medium,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates rape, assault, victim, shot. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_1000,The accused assaulted the victim with a sharp object. The victim was attacked and suffered major injuries. There was a rape incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Major,Medium,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates rape, assault, victim. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_1001,A property dispute concerning duty and gst. The parties claim ownership and possession of the premises. debt is in question and court intervention sought.,Property/Land,Property,Minor,Low,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Property/Land because the document indicates possession, premises, property, ownership. Under the Constitution of India, the rights engaged are Article 300A, Article 14, Article 21, Article 39, Article 46, Article 243G. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation, Rule of Law."
CASE_1002,A case of property has been filed. The dispute is over debt involving possession. No physical harm was reported. The matter involves drawback and eviction issues.,Property/Land,Property,No Injury,Low,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Property/Land because the document indicates possession, property, eviction. Under the Constitution of India, the rights engaged are Article 300A, Article 14, Article 21, Article 39, Article 46, Article 243G. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation, Rule of Law."
CASE_1003,The accused dacoity the victim with a knife. The victim was stabbed and suffered fatal injuries. There was a weapon incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Fatal,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates weapon, victim, dacoity. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_1004,A property dispute concerning property and stolen. The parties claim ownership and possession of the premises. agreement is in question and court intervention sought.,Property/Land,Property,No Injury,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Property/Land because the document indicates possession, premises, property, ownership. Under the Constitution of India, the rights engaged are Article 300A, Article 14, Article 21, Article 39, Article 46, Article 243G. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation, Rule of Law."
CASE_1005,The victim was subjected to sexual abuse and exploitation. The accused used force and intimidation. The matter involves grave violation of personal dignity and safety.,General Civil,Violent,Major,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates the facts of the dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_1006,The accused fatal the victim with a gun. The victim was attacked and suffered fatal injuries. There was a murder incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Fatal,Medium,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates murder, victim. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_1007,The victim was subjected to sexual abuse and exploitation. The accused used force and intimidation. The matter involves grave violation of personal dignity and safety.,General Civil,Violent,Major,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates the facts of the dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_1008,A case of non-violent has been filed. The dispute is over tax involving confiscation. No physical harm was reported. The matter involves fraud and dissolution issues.,General Civil,Non-Violent,No Injury,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_1009,A case of property has been filed. The dispute is over attachment involving debt. No physical harm was reported. The matter involves land and agreement issues.,General Civil,Property,No Injury,Low,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_1010,A minor child was sexually abused by the accused. The child victim is traumatized and requires immediate judicial intervention. Constitutional rights against exploitation are attracted.,General Civil,Violent,Major,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates the facts of the dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_1011,A property dispute concerning theft and insolvency. The parties claim ownership and possession of the premises. contract is in question and court intervention sought.,Property/Land,Property,Minor,Low,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Property/Land because the document indicates possession, premises, property, ownership. Under the Constitution of India, the rights engaged are Article 300A, Article 14, Article 21, Article 39, Article 46, Article 243G. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation, Rule of Law."
